event_id,event_date,employee_id,cost_center_id,classification_group,classification_level,event_type,amount_local,local_currency,work_country_code,ingest_ts,source_system
EVT00118923,2025-12-21,EMP03743,CC0078,EC,1,Leave Return,,CAD,CA,2025-12-21 07:00:00,PAYROLL
EVT00117909,2025-12-02,EMP02832,CC0106,EX,2,Leave Return,,CAD,CAN,2025-12-02 12:00:00,CORE_HR
EVT00118814,2025-12-14,EMP00540,CC0003,EN,1,Step Increment,88895.95,CAD,CA,2025-12-14 20:00:00,PAYROLL
EVT00118379,2025-12-16,EMP01404,CC0117,EN,3,Lateral Deployment,,CAD,CAN,2025-12-16 11:00:00,CORE_HR
EVT00119160,2025-12-02,EMP04826,CC0074,CR,3,Step Increment,8136626.35,KES,KE,2025-12-02 21:00:00,PAYROLL
EVT00118315,2025-12-10,EMP00842,CC0023,EN,3,Leave Start,,CAD,CAN,2025-12-11 00:00:00,CORE_HR
EVT00117813,2025-12-12,EMP03095,CC0046,IT,2,Step Increment,82316.41,EUR,FRA,2025-12-13 15:00:00,CORE_HR
EVT00118789,2025-12-10,EMP04542,CC0103,FI,2,Promotion,93582.97,CAD,CAN,2025-12-11 01:00:00,CORE_HR
EVT00119468,2025-12-17,EMP02040,CC0068,IT,1,Step Increment,67892.83,CAD,CA,2025-12-17 10:00:00,PAYROLL
EVT00117726,2025-12-17,EMP01142,CC0117,IT,3,Step Increment,114184.68,CAD,CA,2025-12-17 15:00:00,PAYROLL
EVT00118305,2025-12-11,EMP00025,CC0084,IT,4,Performance Pay,17844.28,CAD,CA,2025-12-11 18:00:00,PAYROLL
EVT00118102,2025-12-02,EMP03190,CC0016,EN,2,Leave Start,,CAD,CA,2025-12-02 18:00:00,PAYROLL
EVT00119547,2025-12-15,EMP01985,CC0032,PA,2,Step Increment,74576.49,CAD,CA,2025-12-16 14:00:00,PAYROLL
EVT00119313,2025-12-23,EMP04232,CC0048,AS,1,Departure,,CAD,CAN,2025-12-23 21:00:00,CORE_HR
EVT00119006,2025-12-21,EMP02506,CC0108,EN,5,Leave Start,,INR,IND,2025-12-21 17:00:00,CORE_HR
EVT00117750,2025-12-11,EMP00278,CC0061,AS,5,Step Increment,101271.87,CAD,CA,2025-12-12 07:00:00,PAYROLL
EVT00118088,2025-12-04,EMP00667,CC0039,EX,2,Leave Return,,CAD,CAN,2025-12-04 18:00:00,CORE_HR
EVT00119195,2025-12-07,EMP01045,CC0078,PA,4,Performance Pay,12991.11,CAD,CA,2025-12-07 07:00:00,PAYROLL
EVT00118945,2025-12-03,EMP01247,CC0047,EN,1,Departure,,CAD,CA,2025-12-04 04:00:00,PAYROLL
EVT00118019,2025-12-26,EMP03226,CC0080,PA,2,Performance Pay,17144.55,AED,ARE,2025-12-26 13:00:00,CORE_HR
EVT00119492,2025-12-05,EMP02185,CC0093,AS,5,Hire,87909.54,CAD,CAN,2025-12-05 21:00:00,CORE_HR
EVT00119569,2025-12-03,EMP01018,CC0031,PA,3,Lateral Deployment,,AED,AE,2025-12-03 13:00:00,PAYROLL
EVT00118082,2025-12-14,EMP01995,CC0117,FI,1,Lateral Deployment,,CAD,CAN,2025-12-14 17:00:00,CORE_HR
EVT00118228,2025-12-22,EMP00973,CC0022,FI,1,Leave Return,,CAD,CAN,2025-12-23 14:00:00,CORE_HR
EVT00118899,2025-12-22,EMP00532,CC0116,EC,3,Performance Pay,5688.9,CAD,CAN,2025-12-22 06:00:00,CORE_HR
EVT00118877,2025-12-12,EMP02667,CC0020,EN,5,Leave Start,,CAD,CAN,2025-12-13 07:00:00,CORE_HR
EVT00119436,2025-12-06,EMP04097,CC0039,CR,2,Step Increment,67232.84,CAD,CAN,2025-12-06 22:00:00,CORE_HR
EVT00119406,2025-12-17,EMP05178,CC0038,PA,2,Step Increment,77777.87,CAD,CAN,2025-12-17 14:00:00,CORE_HR
EVT00118074,2025-12-13,EMP03813,CC0107,FI,3,Step Increment,105579.37,CAD,CAN,2025-12-14 07:00:00,CORE_HR
EVT00118983,2025-12-01,EMP00343,CC0104,PA,3,Step Increment,80005.38,CAD,CAN,2025-12-01 08:00:00,CORE_HR
EVT00119617,2025-12-14,EMP02023,CC0018,CR,2,Step Increment,68084.07,CAD,CAN,2025-12-14 06:00:00,CORE_HR
EVT00119205,2025-12-18,EMP00364,CC0110,AS,1,Step Increment,55785.17,CAD,CA,2025-12-18 08:00:00,PAYROLL
EVT00118355,2025-12-16,EMP02374,CC0043,IT,1,Lateral Deployment,,CAD,CAN,2025-12-17 04:00:00,CORE_HR
EVT00118710,2025-12-22,EMP04292,CC0115,EX,1,Step Increment,132136.37,CAD,CA,2025-12-22 06:00:00,PAYROLL
EVT00118293,2025-12-15,EMP05100,CC0043,AS,3,Step Increment,70396.01,CAD,CA,2025-12-15 11:00:00,PAYROLL
EVT00119188,2025-12-04,EMP02740,CC0106,CR,3,Leave Return,,CAD,CAN,2025-12-04 14:00:00,CORE_HR
EVT00119328,2025-12-24,EMP00602,CC0057,EN,3,Leave Start,,CAD,CAN,2025-12-25 06:00:00,CORE_HR
EVT00118198,2025-12-10,EMP04315,CC0016,EC,4,Step Increment,150904.07,CAD,CAN,2025-12-10 11:00:00,CORE_HR
