event_id,event_date,employee_id,cost_center_id,classification_group,classification_level,event_type,amount_local,local_currency,work_country_code,ingest_ts,source_system
EVT00009475,2021-05-08,EMP00730,CC0043,IT,3,Hire,97562.35,CAD,CAN,2021-05-09 00:00:00,CORE_HR
EVT00009073,2021-05-06,EMP02788,CC0118,PA,1,Step Increment,57061.07,CAD,CA,2021-05-07 06:00:00,PAYROLL
EVT00008152,2021-05-10,EMP03467,CC0025,EC,2,Leave Return,,CAD,CAN,2021-05-11 07:00:00,CORE_HR
EVT00008804,2021-05-13,EMP02633,CC0045,CR,5,Leave Return,,CAD,CAN,2021-05-13 13:00:00,CORE_HR
EVT00008887,2021-05-24,EMP02576,CC0048,IT,2,Step Increment,91292.42,CAD,CAN,2021-05-24 20:00:00,CORE_HR
EVT00008792,2021-05-20,EMP02238,CC0067,IT,2,Step Increment,88631.8,CAD,CAN,2021-05-21 05:00:00,CORE_HR
EVT00009209,2021-05-22,EMP04565,CC0086,CR,1,Step Increment,140890.5,AED,ARE,2021-05-23 00:00:00,CORE_HR
EVT00009439,2021-05-26,EMP02421,CC0089,CR,2,Hire,50919.53,CAD,CAN,2021-05-27 08:00:00,CORE_HR
EVT00008791,2021-05-08,EMP03387,CC0117,EC,2,Hire,64001.41,CAD,CAN,2021-05-08 11:00:00,CORE_HR
EVT00009262,2021-05-06,EMP04526,CC0096,PA,2,Performance Pay,6861.41,CAD,CAN,2021-05-07 05:00:00,CORE_HR
EVT00008461,2021-05-25,EMP00790,CC0027,IT,2,Step Increment,86648.19,CAD,CAN,2021-05-25 15:00:00,CORE_HR
EVT00009332,2021-05-10,EMP01189,CC0058,EC,3,Step Increment,97448.42,CAD,CAN,2021-05-11 11:00:00,CORE_HR
EVT00009496,2021-05-06,EMP02627,CC0043,PA,1,Step Increment,54907.44,CAD,CAN,2021-05-07 10:00:00,CORE_HR
EVT00008389,2021-05-23,EMP01150,CC0086,AS,3,Hire,247538.67,BRL,BRA,2021-05-24 09:00:00,CORE_HR
EVT00008505,2021-05-21,EMP04210,CC0049,EC,2,Performance Pay,7051.83,SGD,SGP,2021-05-21 17:00:00,CORE_HR
EVT00008626,2021-05-17,EMP03307,CC0037,IT,1,Step Increment,78875.83,CAD,CA,2021-05-18 06:00:00,PAYROLL
EVT00009038,2021-05-21,EMP00839,CC0031,CR,3,Lateral Deployment,,EUR,DEU,2021-05-21 23:00:00,CORE_HR
EVT00008214,2021-05-07,EMP04918,CC0092,CR,1,Step Increment,54518.97,CAD,CAN,2021-05-08 15:00:00,CORE_HR
EVT00008762,2021-05-13,EMP03694,CC0016,AS,2,Performance Pay,4731.87,CAD,CA,2021-05-13 09:00:00,PAYROLL
EVT00009364,2021-05-03,EMP02484,CC0089,EC,2,Leave Start,,CAD,CAN,2021-05-04 03:00:00,CORE_HR
EVT00009687,2021-05-20,EMP00892,CC0093,EN,1,Step Increment,99034.17,CAD,CAN,2021-05-20 17:00:00,CORE_HR
EVT00008605,2021-05-26,EMP01329,CC0036,IT,2,Performance Pay,4532.53,CAD,CAN,2021-05-27 12:00:00,CORE_HR
EVT00008310,2021-05-06,EMP00936,CC0014,FI,4,Leave Return,,CAD,CAN,2021-05-06 07:00:00,CORE_HR
EVT00008425,2021-05-04,EMP02576,CC0048,IT,2,Leave Start,,CAD,CAN,2021-05-05 12:00:00,CORE_HR
EVT00009001,2021-05-26,EMP00834,CC0061,PA,1,Step Increment,65833.25,CAD,CAN,2021-05-26 20:00:00,CORE_HR
EVT00009025,2021-05-14,EMP04242,CC0049,FI,1,Step Increment,49252.82,GBP,GB,2021-05-15 13:00:00,PAYROLL
EVT00008776,2021-05-11,EMP03843,CC0049,EX,1,Lateral Deployment,,EUR,DE,2021-05-12 00:00:00,PAYROLL
