rate_month,currency,cad_per_unit
2021-01,CAD,1.0
2021-02,CAD,1.0
2021-03,CAD,1.0
2021-04,CAD,1.0
2021-05,CAD,1.0
2021-06,CAD,1.0
2021-07,CAD,1.0
2021-08,CAD,1.0
2021-09,CAD,1.0
2021-10,CAD,1.0
2021-11,CAD,1.0
2021-12,CAD,1.0
2022-01,CAD,1.0
2022-02,CAD,1.0
2022-03,CAD,1.0
2022-04,CAD,1.0
2022-05,CAD,1.0
2022-06,CAD,1.0
2022-07,CAD,1.0
2022-08,CAD,1.0
2022-09,CAD,1.0
2022-10,CAD,1.0
2022-11,CAD,1.0
2022-12,CAD,1.0
2023-01,CAD,1.0
2023-02,CAD,1.0
2023-03,CAD,1.0
2023-04,CAD,1.0
2023-05,CAD,1.0
2023-06,CAD,1.0
2023-07,CAD,1.0
2023-08,CAD,1.0
2023-09,CAD,1.0
2023-10,CAD,1.0
2023-11,CAD,1.0
2023-12,CAD,1.0
2024-01,CAD,1.0
2024-02,CAD,1.0
2024-03,CAD,1.0
2024-04,CAD,1.0
2024-05,CAD,1.0
2024-06,CAD,1.0
2024-07,CAD,1.0
2024-08,CAD,1.0
2024-09,CAD,1.0
2024-10,CAD,1.0
2024-11,CAD,1.0
2024-12,CAD,1.0
2025-01,CAD,1.0
2025-02,CAD,1.0
2025-03,CAD,1.0
2025-04,CAD,1.0
2025-05,CAD,1.0
2025-06,CAD,1.0
2025-07,CAD,1.0
2025-08,CAD,1.0
2025-09,CAD,1.0
2025-10,CAD,1.0
2025-11,CAD,1.0
2025-12,CAD,1.0
2021-01,USD,1.39098394
2021-02,USD,1.35556247
2021-03,USD,1.37716666
2021-04,USD,1.37179642
2021-05,USD,1.38317585
2021-06,USD,1.38397399
2021-07,USD,1.3913268
2021-08,USD,1.34143515
2021-09,USD,1.3091738
2021-10,USD,1.36844327
2021-11,USD,1.39073401
2021-12,USD,1.33661962
2022-01,USD,1.35844688
2022-02,USD,1.35858272
2022-03,USD,1.3399436
2022-04,USD,1.33266947
2022-05,USD,1.31669332
2022-06,USD,1.3445956
2022-07,USD,1.40180396
2022-08,USD,1.39921145
2022-09,USD,1.35317751
2022-10,USD,1.35684199
2022-11,USD,1.31372433
2022-12,USD,1.34178469
2023-01,USD,1.28952259
2023-02,USD,1.29925126
2023-03,USD,1.2759638
2023-04,USD,1.25524331
2023-05,USD,1.25837517
2023-06,USD,1.25397228
2023-07,USD,1.26270671
2023-08,USD,1.25417365
2023-09,USD,1.28245473
2023-10,USD,1.29042764
2023-11,USD,1.26111652
2023-12,USD,1.29974836
2024-01,USD,1.35030733
2024-02,USD,1.34008577
2024-03,USD,1.31438876
2024-04,USD,1.36457276
2024-05,USD,1.39185499
2024-06,USD,1.33023186
2024-07,USD,1.29911502
2024-08,USD,1.27999725
2024-09,USD,1.26688981
2024-10,USD,1.27102071
2024-11,USD,1.26823544
2024-12,USD,1.24576662
2025-01,USD,1.24703474
2025-02,USD,1.24067272
2025-03,USD,1.23507977
2025-04,USD,1.2129067
2025-05,USD,1.23929752
2025-06,USD,1.22783298
2025-07,USD,1.2199993
2025-08,USD,1.22013262
2025-09,USD,1.19333735
2025-10,USD,1.17311098
2025-11,USD,1.16991962
2025-12,USD,1.17909367
2021-01,GBP,1.64758251
2021-02,GBP,1.62700723
2021-03,GBP,1.61662748
2021-04,GBP,1.58748215
2021-05,GBP,1.53382544
2021-06,GBP,1.5209543
2021-07,GBP,1.52548808
2021-08,GBP,1.56695013
2021-09,GBP,1.56528444
2021-10,GBP,1.59515818
2021-11,GBP,1.59920797
2021-12,GBP,1.65271233
2022-01,GBP,1.6975456
2022-02,GBP,1.68152288
2022-03,GBP,1.67736151
2022-04,GBP,1.65997277
2022-05,GBP,1.66492174
2022-06,GBP,1.62494203
2022-07,GBP,1.62283106
2022-08,GBP,1.61147196
2022-09,GBP,1.60507337
2022-10,GBP,1.60702876
2022-11,GBP,1.57331277
2022-12,GBP,1.5766175
2023-01,GBP,1.59578412
2023-02,GBP,1.54281876
2023-03,GBP,1.54882886
2023-04,GBP,1.51702058
2023-05,GBP,1.56997595
2023-06,GBP,1.53903728
2023-07,GBP,1.53663295
2023-08,GBP,1.52384858
2023-09,GBP,1.54007007
2023-10,GBP,1.5218119
2023-11,GBP,1.53840048
2023-12,GBP,1.5530259
2024-01,GBP,1.57080719
2024-02,GBP,1.5791483
2024-03,GBP,1.57479901
2024-04,GBP,1.5898567
2024-05,GBP,1.59773986
2024-06,GBP,1.57544463
2024-07,GBP,1.60860172
2024-08,GBP,1.62253805
2024-09,GBP,1.58715181
2024-10,GBP,1.65177455
2024-11,GBP,1.67958758
2024-12,GBP,1.69415815
2025-01,GBP,1.76523487
2025-02,GBP,1.75702195
2025-03,GBP,1.77893367
2025-04,GBP,1.77158305
2025-05,GBP,1.72628202
2025-06,GBP,1.77912932
2025-07,GBP,1.79858701
2025-08,GBP,1.79854804
2025-09,GBP,1.75134435
2025-10,GBP,1.75630106
2025-11,GBP,1.78505402
2025-12,GBP,1.77825518
2021-01,EUR,1.42493004
2021-02,EUR,1.40604342
2021-03,EUR,1.44001191
2021-04,EUR,1.46296418
2021-05,EUR,1.40161989
2021-06,EUR,1.4190634
2021-07,EUR,1.40813714
2021-08,EUR,1.40553207
2021-09,EUR,1.44655885
2021-10,EUR,1.46846794
2021-11,EUR,1.48490437
2021-12,EUR,1.44819413
2022-01,EUR,1.44870937
2022-02,EUR,1.43267633
2022-03,EUR,1.39716926
2022-04,EUR,1.3661427
2022-05,EUR,1.3411194
2022-06,EUR,1.38287513
2022-07,EUR,1.36964147
2022-08,EUR,1.33731375
